SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,77,細懸浮微粒,普通,1.1,0.48,81.9,37,67,52,6.4,7,0.5,2.1,87,2020-05-13 08:00,,0.4,26,38,1,121.760056,25.129167,1
汐止,新北市,76,細懸浮微粒,普通,2.6,0.57,56.8,40,56,40,25.8,29.6,3.7,3.0,30,2020-05-13 08:00,,0.5,26,39,2,121.6423,25.067131,2
萬里,新北市,74,細懸浮微粒,普通,2.8,0.43,96.6,47,74,46,4.7,4.7,0,4.9,52,2020-05-13 08:00,,0.4,25,41,2,121.689881,25.179667,3
新店,新北市,66,細懸浮微粒,普通,2.2,0.67,48.4,53,32,27,21.2,25.2,4,1.7,95,2020-05-13 08:00,,0.4,22,29,2,121.537778,24.977222,4
土城,新北市,64,臭氧八小時,普通,1.6,0.65,59.6,59,32,23,16.1,17.9,1.9,1.7,341,2020-05-13 08:00,,0.4,20,30,2,121.451861,24.982528,5
板橋,新北市,65,細懸浮微粒,普通,2,0.75,55.1,55,35,25,12.5,15.1,2.6,2.6,63,2020-05-13 08:00,,0.5,21,30,2,121.458667,25.012972,6
新莊,新北市,90,臭氧八小時,普通,1.4,0.54,69.6,67,42,27,14.6,17.5,2.9,5.5,63,2020-05-13 08:00,,0.4,23,33,2,121.4325,25.037972,7
菜寮,新北市,71,細懸浮微粒,普通,2.2,0.61,51.8,52,49,32,16,17.7,1.7,3.4,80,2020-05-13 08:00,,0.4,24,35,2,121.481028,25.06895,8
林口,新北市,101,臭氧八小時,對敏感族群不健康,2.5,0.48,66.5,71,50,35,19.8,25.2,5.4,4.6,73,2020-05-13 08:00,,0.3,26,37,2,121.376869,25.077197,9
淡水,新北市,69,細懸浮微粒,普通,1.6,0.39,69.7,59,37,29,7.6,7.7,0.3,1.5,140,2020-05-13 08:00,,0.3,23,32,1,121.449239,25.1645,10
士林,臺北市,112,臭氧八小時,對敏感族群不健康,2.6,0.43,77.1,74,54,36,10,11.4,1.4,2.2,83,2020-05-13 08:00,,0.3,26,37,2,121.515389,25.105417,11
中山,臺北市,73,細懸浮微粒,普通,1.4,0.93,46.9,58,56,34,32.4,39.7,7.3,2.4,109,2020-05-13 08:00,,0.5,24,37,2,121.526528,25.062361,12
基隆,基隆市,108,臭氧八小時,對敏感族群不健康,0.5,0.25,73.1,73,46,17,3.4,4.3,0.9,2.9,87,2020-05-13 14:00,,0.4,24,49,1,121.760056,25.129167,1
汐止,新北市,108,臭氧八小時,對敏感族群不健康,1.4,0.33,83.9,73,54,24,6.9,7.6,0.7,4.0,36,2020-05-13 14:00,,0.4,26,52,2,121.6423,25.067131,2
萬里,新北市,151,臭氧八小時,對所有族群不健康,2.3,0.21,78.2,86,47,16,1.5,1.6,0.3,6.1,49,2020-05-13 14:00,,0.3,22,49,2,121.689881,25.179667,3
新店,新北市,80,臭氧八小時,普通,2,0.34,75.9,64,41,20,5.5,6.2,0.7,4.8,111,2020-05-13 14:00,,0.4,21,35,2,121.537778,24.977222,4
土城,新北市,112,臭氧八小時,對敏感族群不健康,1.6,0.39,81.7,74,45,25,9.6,10.9,1.3,2.0,344,2020-05-13 14:00,,0.5,23,42,2,121.451861,24.982528,5
板橋,新北市,84,臭氧八小時,普通,2.5,0.44,70.6,65,51,23,11,13.7,2.7,3.8,67,2020-05-13 14:00,,0.6,26,44,2,121.458667,25.012972,6
新莊,新北市,118,臭氧八小時,對敏感族群不健康,2.3,0.36,81.3,76,60,26,8,10.5,2.5,8.4,58,2020-05-13 14:00,,0.4,23,49,2,121.4325,25.037972,7
菜寮,新北市,71,細懸浮微粒,普通,1.9,0.34,62.9,60,43,23,8.5,9.7,1.2,4.7,77,2020-05-13 14:00,,0.4,24,41,2,121.481028,25.06895,8
萬華,臺北市,71,細懸浮微粒,普通,0.5,0.64,47.9,56,51,31,28.6,33.7,5.1,2.5,95,2020-05-13 08:00,,0.4,24,37,2,121.507972,25.046503,13
古亭,臺北市,77,臭氧八小時,普通,1.4,0.56,64.1,63,42,25,15.3,16.5,1.2,1.2,33,2020-05-13 08:00,,0.4,22,33,1,121.529556,25.020608,14
松山,臺北市,76,細懸浮微粒,普通,3.3,0.68,51.1,50,56,34,27.1,30.8,3.7,2.4,32,2020-05-13 08:00,,0.5,26,40,3,121.578611,25.05,15
大同,臺北市,84,細懸浮微粒,普通,1.4,1.15,-,-,72,44,45.5,66.4,20.9,-,-,2020-05-13 08:00,,0.6,29,41,2,121.513311,25.0632,16
桃園,桃園市,67,細懸浮微粒,普通,2.5,0.6,50.1,48,33,21,12.2,13.7,1.5,3.2,62,2020-05-13 08:00,,0.4,22,32,4,121.30872222,24.98677778,17
大園,桃園市,101,臭氧八小時,對敏感族群不健康,0.5,0.38,80.1,71,42,26,8.4,10.8,2.5,5.9,68,2020-05-13 08:00,,0.3,22,34,2,121.201811,25.060344,18
觀音,桃園市,71,臭氧八小時,普通,2.9,0.39,70.1,61,38,28,13.4,13.7,0.3,6.6,80,2020-05-13 08:00,,0.3,24,34,3,121.082761,25.035503,19
平鎮,桃園市,67,臭氧八小時,普通,2.8,0.6,62.9,60,42,24,14.2,17.3,3.2,4.2,56,2020-05-13 08:00,,0.4,22,35,2,121.203986,24.952786,20
龍潭,桃園市,63,細懸浮微粒,普通,2,0.46,62.5,56,37,24,12.5,15.2,2.7,5.1,52,2020-05-13 08:00,,0.4,20,33,2,121.21635,24.863869,21
湖口,新竹縣,71,臭氧八小時,普通,1.8,0.4,68.9,61,41,21,8.2,11,2.8,5.2,59,2020-05-13 08:00,,0.4,22,32,2,121.038653,24.900142,22
竹東,新竹縣,49,,良好,1.9,0.43,41.5,22,35,19,7,9.5,2.5,1.2,126,2020-05-13 08:00,,0.3,15,29,2,121.088903,24.740644,23
新竹,新竹市,55,細懸浮微粒,普通,1.3,0.51,48.6,39,40,21,16.1,18,1.9,2,72,2020-05-13 08:00,,0.4,17,28,2,120.972075,24.805619,24
頭份,苗栗縣,45,,良好,1.5,0.41,23.1,18,34,16,12.1,17.2,5.2,1.8,81,2020-05-13 08:00,,0.4,14,26,1,120.898572,24.696969,25
苗栗,苗栗縣,44,,良好,1.6,0.54,6.1,7,26,12,10.6,20.2,9.6,1.4,23,2020-05-13 08:00,,0.4,14,27,2,120.8202,24.565269,26
三義,苗栗縣,34,,良好,1.4,0.21,16.2,11,20,11,6.4,9.3,2.9,1.9,9,2020-05-13 08:00,,0.2,11,18,1,120.758833,24.382942,27
豐原,臺中市,51,細懸浮微粒,普通,1.2,0.44,20.5,11,26,17,11.3,16.8,5.5,1.4,315,2020-05-13 08:00,,0.4,16,25,1,120.741711,24.256586,28
沙鹿,臺中市,53,細懸浮微粒,普通,2.3,0.53,15.2,13,35,25,17.8,26.9,9.1,2.3,4,2020-05-13 08:00,,0.4,16,25,2,120.568794,24.225628,29
大里,臺中市,59,細懸浮微粒,普通,2.6,0.49,12.3,6,29,15,10.2,14.9,4.7,1.1,285,2020-05-13 08:00,,0.5,19,31,3,120.677689,24.099611,30
忠明,臺中市,54,細懸浮微粒,普通,1.3,0.38,16.9,14,37,22,9.9,15.6,5.7,0.9,201,2020-05-13 08:00,,0.4,17,28,2,120.641092,24.151958,31
西屯,臺中市,50,,良好,1.9,0.36,16.9,12,30,16,12,19.2,7.2,1.6,174,2020-05-13 08:00,,0.4,15,29,2,120.616917,24.162197,32
彰化,彰化縣,68,細懸浮微粒,普通,2.9,0.59,16.4,11,46,30,14.1,19,4.9,0.8,223,2020-05-13 08:00,,0.5,22,35,3,120.541519,24.066,33
線西,彰化縣,57,細懸浮微粒,普通,2.5,0.5,25.4,17,44,27,12.7,17.6,5,0.9,36,2020-05-13 08:00,,0.5,18,34,3,120.469061,24.131672,34
二林,彰化縣,70,細懸浮微粒,普通,6.1,0.55,18.8,9,57,30,13.2,18.9,5.7,1.5,134,2020-05-13 08:00,,0.6,23,46,4,120.409653,23.925175,35
